statement,url,text,source,category,label,dataset_name,update_date,source_type
"NBS Dataset: 27 February, 2026Index of Industrial Production (IIP)  release for October - December, 2025",https://www.nbs.go.tz/uploads/statistics/documents/en-1773928099-2025Q4 IIP RELEASE.pdf,"Statistical dataset from National Bureau of Statistics Tanzania: 27 February, 2026Index of Industrial Production (IIP)  release for October - December, 2025",National Bureau of Statistics (NBS),official_statistics,verified,NBS_Datasets,2026-04-13,government
"NBS Dataset: 08 December, 2025Index of Industrial Production (IIP) release for July – September, 2025",https://www.nbs.go.tz/uploads/statistics/documents/en-1765404046-2025Q3 IIP RELEASE.pdf,"Statistical dataset from National Bureau of Statistics Tanzania: 08 December, 2025Index of Industrial Production (IIP) release for July – September, 2025",National Bureau of Statistics (NBS),official_statistics,verified,NBS_Datasets,2026-04-13,government
"NBS Dataset: 31 August, 2025Index of Industrial Production (IIP) Release for April – June, 2025",https://www.nbs.go.tz/uploads/statistics/documents/en-1758031945-2025Q2 IIP RELEASE.pdf,"Statistical dataset from National Bureau of Statistics Tanzania: 31 August, 2025Index of Industrial Production (IIP) Release for April – June, 2025",National Bureau of Statistics (NBS),official_statistics,verified,NBS_Datasets,2026-04-13,government
"NBS Dataset: 12 June, 2025Index of Industrial Production (IIP) for January - March, 2025",https://www.nbs.go.tz/uploads/statistics/documents/en-1749723349-2025Q1 IIP RELEASE.pdf,"Statistical dataset from National Bureau of Statistics Tanzania: 12 June, 2025Index of Industrial Production (IIP) for January - March, 2025",National Bureau of Statistics (NBS),official_statistics,verified,NBS_Datasets,2026-04-13,government
"NBS Dataset: 24 March, 2025Index of Industrial Production (IIP) for October – December, 2024",https://www.nbs.go.tz/uploads/statistics/documents/en-1742824187-IIP_Release Oct_ Dec 2024.pdf,"Statistical dataset from National Bureau of Statistics Tanzania: 24 March, 2025Index of Industrial Production (IIP) for October – December, 2024",National Bureau of Statistics (NBS),official_statistics,verified,NBS_Datasets,2026-04-13,government
"NBS Dataset: 03 December, 2024The Index of Industrial Production (IIP) for  July _ September, 2024",https://www.nbs.go.tz/uploads/statistics/documents/en-1733211871-IIP_Release July_ Sept 2024.pdf,"Statistical dataset from National Bureau of Statistics Tanzania: 03 December, 2024The Index of Industrial Production (IIP) for  July _ September, 2024",National Bureau of Statistics (NBS),official_statistics,verified,NBS_Datasets,2026-04-13,government
"NBS Dataset: 30 August, 2024The Index of Industrial Production (IIP) for  April _ June, 2024","https://www.nbs.go.tz/uploads/statistics/documents/en-1725870204-IIP_Release April _ June, 2024.pdf","Statistical dataset from National Bureau of Statistics Tanzania: 30 August, 2024The Index of Industrial Production (IIP) for  April _ June, 2024",National Bureau of Statistics (NBS),official_statistics,verified,NBS_Datasets,2026-04-13,government
"NBS Dataset: 31 May, 2024The Index of Industrial Production (IIP) for January – March 2024",https://www.nbs.go.tz/uploads/statistics/documents/en-1718796481-IIP_Release Jan_March 2024.pdf,"Statistical dataset from National Bureau of Statistics Tanzania: 31 May, 2024The Index of Industrial Production (IIP) for January – March 2024",National Bureau of Statistics (NBS),official_statistics,verified,NBS_Datasets,2026-04-13,government
"NBS Dataset: 31 May, 2024Quarterly IIP Series 2019Q1 - 2024Q1",https://www.nbs.go.tz/uploads/statistics/documents/en-1718796586-QUARTERLY IIP SERIES 2019Q1 - 20241.xlsx,"Statistical dataset from National Bureau of Statistics Tanzania: 31 May, 2024Quarterly IIP Series 2019Q1 - 2024Q1",National Bureau of Statistics (NBS),official_statistics,verified,NBS_Datasets,2026-04-13,government
"NBS Dataset: 06 March, 2024The Index of Industrial Production (IIP) for October - December 2023",https://www.nbs.go.tz/uploads/statistics/documents/en-1711100179-Index_of_Industrial_Production_Release_OCT_DEC_2023.pdf,"Statistical dataset from National Bureau of Statistics Tanzania: 06 March, 2024The Index of Industrial Production (IIP) for October - December 2023",National Bureau of Statistics (NBS),official_statistics,verified,NBS_Datasets,2026-04-13,government
UTAFITI WA KUFUATILIA KAYA TANZANIA(NPS) WA MWAKA WA 2026,https://www.nbs.go.tz/statistics/topic/utafiti-wa-kufuatilia-kaya-tanzania-nps-wa-mwaka-wa-6,NBS information: UTAFITI WA KUFUATILIA KAYA TANZANIA(NPS) WA MWAKA WA 2026,National Bureau of Statistics (NBS),official_statistics,verified,NBS_Content,2026-04-13,government
"Ofisi ya Taifa ya Takwimu (NBS) ipo katika maandalizi ya Utafiti wa Kufuatilia Kaya (National Panel Survey, Wave 6– NPS 2026)",https://www.nbs.go.tz/statistics/topic/utafiti-wa-kufuatilia-kaya-tanzania-nps-wa-mwaka-wa-6,"NBS information: Ofisi ya Taifa ya Takwimu (NBS) ipo katika maandalizi ya Utafiti wa Kufuatilia Kaya (National Panel Survey, Wave 6– NPS 2026)",National Bureau of Statistics (NBS),official_statistics,verified,NBS_Content,2026-04-13,government
Utafiti huu umekuwa ukifanyika tangu mwaka 2008/09,https://www.nbs.go.tz/statistics/topic/utafiti-wa-kufuatilia-kaya-tanzania-nps-wa-mwaka-wa-6,NBS information: Utafiti huu umekuwa ukifanyika tangu mwaka 2008/09,National Bureau of Statistics (NBS),official_statistics,verified,NBS_Content,2026-04-13,government
Mwisho wa kupokea maoni ni tarehe 27 Februari 2026 nabaada ya kupokea maoni kutakuwa na kikao cha wadau mnamo wiki ya kwanza ya mwezi Machi,https://www.nbs.go.tz/statistics/topic/utafiti-wa-kufuatilia-kaya-tanzania-nps-wa-mwaka-wa-6,NBS information: Mwisho wa kupokea maoni ni tarehe 27 Februari 2026 nabaada ya kupokea maoni kutakuwa na kikao cha wadau mnamo wiki ya kwanza ya mwezi Machi,National Bureau of Statistics (NBS),official_statistics,verified,NBS_Content,2026-04-13,government
"NBS Dataset: 02 February, 2026NPS 202627 Core Agriculture Questionnaire - OFFICIAL - January 2026",https://www.nbs.go.tz/uploads/statistics/documents/en-1770031087-NPS 202627 Core Agriculture Questionnaire - OFFICIAL - January 2026.xlsx,"Statistical dataset from National Bureau of Statistics Tanzania: 02 February, 2026NPS 202627 Core Agriculture Questionnaire - OFFICIAL - January 2026",National Bureau of Statistics (NBS),official_statistics,verified,NBS_Datasets,2026-04-13,government
"NBS Dataset: 02 February, 2026NPS 202627 Core Community Questionnaire - OFFICIAL - January 2026",https://www.nbs.go.tz/uploads/statistics/documents/en-1770031138-NPS 202627 Core Community Questionnaire - OFFICIAL - January 2026.xlsx,"Statistical dataset from National Bureau of Statistics Tanzania: 02 February, 2026NPS 202627 Core Community Questionnaire - OFFICIAL - January 2026",National Bureau of Statistics (NBS),official_statistics,verified,NBS_Datasets,2026-04-13,government
"NBS Dataset: 02 February, 2026NPS 202627 Core Household Questionnaire  - OFFICIAL - January 2026",https://www.nbs.go.tz/uploads/statistics/documents/en-1770031191-NPS 202627 Core Household Questionnaire  - OFFICIAL - January 2026.xlsx,"Statistical dataset from National Bureau of Statistics Tanzania: 02 February, 2026NPS 202627 Core Household Questionnaire  - OFFICIAL - January 2026",National Bureau of Statistics (NBS),official_statistics,verified,NBS_Datasets,2026-04-13,government
Health Statistics: Tanzania National Health PortalPowered byDHIS2Developed byHISP Tanzania,https://hmisportal.moh.go.tz,Health data from Ministry of Health Tanzania: Tanzania National Health PortalPowered byDHIS2Developed byHISP Tanzania,Ministry of Health Tanzania,health,verified,,,
"Health Statistics: Tanzania National Health PortalMinistry of HealthUseful linksThe ministry of health TanzaniaHFR web portalNBS TanzaniaMSD TanzaniaTMATMDANHIFNSMIS public portalContact usMinistry of HealthIdara Kuu ya Afya Mji wa Serikali/ Mtumba Barabara ya AfyaS.L.P 74340478 Dodoma, TanzaniaTel: +255 22 2342000/5Email: ps@afya.go.tzAll rights reserved©2026|Ministry of Health",https://hmisportal.moh.go.tz,"Health data from Ministry of Health Tanzania: Tanzania National Health PortalMinistry of HealthUseful linksThe ministry of health TanzaniaHFR web portalNBS TanzaniaMSD TanzaniaTMATMDANHIFNSMIS public portalContact usMinistry of HealthIdara Kuu ya Afya Mji wa Serikali/ Mtumba Barabara ya AfyaS.L.P 74340478 Dodoma, TanzaniaTel: +255 22 2342000/5Email: ps@afya.go.tzAll rights reserved©2026|Ministry of Health",Ministry of Health Tanzania,health,verified,,,
"Health Statistics: Useful linksThe ministry of health TanzaniaHFR web portalNBS TanzaniaMSD TanzaniaTMATMDANHIFNSMIS public portalContact usMinistry of HealthIdara Kuu ya Afya Mji wa Serikali/ Mtumba Barabara ya AfyaS.L.P 74340478 Dodoma, TanzaniaTel: +255 22 2342000/5Email: ps@afya.go.tzAll rights reserved©2026|Ministry of Health",https://hmisportal.moh.go.tz,"Health data from Ministry of Health Tanzania: Useful linksThe ministry of health TanzaniaHFR web portalNBS TanzaniaMSD TanzaniaTMATMDANHIFNSMIS public portalContact usMinistry of HealthIdara Kuu ya Afya Mji wa Serikali/ Mtumba Barabara ya AfyaS.L.P 74340478 Dodoma, TanzaniaTel: +255 22 2342000/5Email: ps@afya.go.tzAll rights reserved©2026|Ministry of Health",Ministry of Health Tanzania,health,verified,,,
"Health Statistics: Useful linksThe ministry of health TanzaniaHFR web portalNBS TanzaniaMSD TanzaniaTMATMDANHIFNSMIS public portalContact usMinistry of HealthIdara Kuu ya Afya Mji wa Serikali/ Mtumba Barabara ya AfyaS.L.P 74340478 Dodoma, TanzaniaTel: +255 22 2342000/5Email: ps@afya.go.tz",https://hmisportal.moh.go.tz,"Health data from Ministry of Health Tanzania: Useful linksThe ministry of health TanzaniaHFR web portalNBS TanzaniaMSD TanzaniaTMATMDANHIFNSMIS public portalContact usMinistry of HealthIdara Kuu ya Afya Mji wa Serikali/ Mtumba Barabara ya AfyaS.L.P 74340478 Dodoma, TanzaniaTel: +255 22 2342000/5Email: ps@afya.go.tz",Ministry of Health Tanzania,health,verified,,,
"Health Statistics: Contact usMinistry of HealthIdara Kuu ya Afya Mji wa Serikali/ Mtumba Barabara ya AfyaS.L.P 74340478 Dodoma, TanzaniaTel: +255 22 2342000/5Email: ps@afya.go.tz",https://hmisportal.moh.go.tz,"Health data from Ministry of Health Tanzania: Contact usMinistry of HealthIdara Kuu ya Afya Mji wa Serikali/ Mtumba Barabara ya AfyaS.L.P 74340478 Dodoma, TanzaniaTel: +255 22 2342000/5Email: ps@afya.go.tz",Ministry of Health Tanzania,health,verified,,,
"Health Statistics: Ministry of HealthIdara Kuu ya Afya Mji wa Serikali/ Mtumba Barabara ya AfyaS.L.P 74340478 Dodoma, TanzaniaTel: +255 22 2342000/5Email: ps@afya.go.tz",https://hmisportal.moh.go.tz,"Health data from Ministry of Health Tanzania: Ministry of HealthIdara Kuu ya Afya Mji wa Serikali/ Mtumba Barabara ya AfyaS.L.P 74340478 Dodoma, TanzaniaTel: +255 22 2342000/5Email: ps@afya.go.tz",Ministry of Health Tanzania,health,verified,,,
Health Statistics: All rights reserved©2026|Ministry of Health,https://hmisportal.moh.go.tz,Health data from Ministry of Health Tanzania: All rights reserved©2026|Ministry of Health,Ministry of Health Tanzania,health,verified,,,
"Health Statistics: National Key IndicatorsEarly ANC among Pregnant Women < 12 weeksOctober - December 20250Percentage of Women Aged 30-49 years Screened for Cervical CancerOctober - December 20250Early Initiation of Breastfeeding among All NewbornOctober - December 20250Essential Medicine AvailabilityOctober - December 20250Full Immunization Coverage among InfantsOctober - December 20250Institutional Deliveries CoverageOctober - December 20250TB Incidence per 100,000 population20240TB Treatment coverage20240Highlighted VisualizationsMessage From the Permanent SecretaryThe National Health Portal serves as the official platform for disseminating health information and statistics from Tanzania's Ministry of Health. The Portal was established in 2015 under the Monitoring and Evaluation section to provide quick and easy access to data across the health sector.This interactive and user-friendly portal offers a centralized point for accessing key health information. Its main categories include: Routine Data, Survey, Library, Themes and News&Feedback. It provides insights into the country’s health status, services, and performance. It serves a wide range of stakeholders, including government agencies, donors, implementing partners, researchers, academic institutions, faith-based organizations, the private sector, civil society organizations, media, and the general public.Data on the portal is updated quarterly, following analysis from various reporting sources. The portal is designed to support evidence-based decision-making, improve service delivery, and raise public awareness on health issues.All stakeholders and members of the public are encouraged to visit and make use of the National Health Portal to support the development and improvement of Tanzania’s health sector.Dkt. Seif ShekalaghePermanent Secretary (Health)",https://hmisportal.moh.go.tz,"Health data from Ministry of Health Tanzania: National Key IndicatorsEarly ANC among Pregnant Women < 12 weeksOctober - December 20250Percentage of Women Aged 30-49 years Screened for Cervical CancerOctober - December 20250Early Initiation of Breastfeeding among All NewbornOctober - December 20250Essential Medicine AvailabilityOctober - December 20250Full Immunization Coverage among InfantsOctober - December 20250Institutional Deliveries CoverageOctober - December 20250TB Incidence per 100,000 population20240TB Treatment coverage20240Highlighted VisualizationsMessage From the Permanent SecretaryThe National Health Portal serves as the official platform for disseminating health information and statistics from Tanzania's Ministry of Health. The Portal was established in 2015 under the Monitoring and Evaluation section to provide quick and easy access to data across the health sector.This interactive and user-friendly portal offers a centralized point for accessing key health information. Its main categories include: Routine Data, Survey, Library, Themes and News&Feedback. It provides insights into the country’s health status, services, and performance. It serves a wide range of stakeholders, including government agencies, donors, implementing partners, researchers, academic institutions, faith-based organizations, the private sector, civil society organizations, media, and the general public.Data on the portal is updated quarterly, following analysis from various reporting sources. The portal is designed to support evidence-based decision-making, improve service delivery, and raise public awareness on health issues.All stakeholders and members of the public are encouraged to visit and make use of the National Health Portal to support the development and improvement of Tanzania’s health sector.Dkt. Seif ShekalaghePermanent Secretary (Health)",Ministry of Health Tanzania,health,verified,,,
"Health Statistics: National Key IndicatorsEarly ANC among Pregnant Women < 12 weeksOctober - December 20250Percentage of Women Aged 30-49 years Screened for Cervical CancerOctober - December 20250Early Initiation of Breastfeeding among All NewbornOctober - December 20250Essential Medicine AvailabilityOctober - December 20250Full Immunization Coverage among InfantsOctober - December 20250Institutional Deliveries CoverageOctober - December 20250TB Incidence per 100,000 population20240TB Treatment coverage20240",https://hmisportal.moh.go.tz,"Health data from Ministry of Health Tanzania: National Key IndicatorsEarly ANC among Pregnant Women < 12 weeksOctober - December 20250Percentage of Women Aged 30-49 years Screened for Cervical CancerOctober - December 20250Early Initiation of Breastfeeding among All NewbornOctober - December 20250Essential Medicine AvailabilityOctober - December 20250Full Immunization Coverage among InfantsOctober - December 20250Institutional Deliveries CoverageOctober - December 20250TB Incidence per 100,000 population20240TB Treatment coverage20240",Ministry of Health Tanzania,health,verified,,,
"Health Statistics: Early ANC among Pregnant Women < 12 weeksOctober - December 20250Percentage of Women Aged 30-49 years Screened for Cervical CancerOctober - December 20250Early Initiation of Breastfeeding among All NewbornOctober - December 20250Essential Medicine AvailabilityOctober - December 20250Full Immunization Coverage among InfantsOctober - December 20250Institutional Deliveries CoverageOctober - December 20250TB Incidence per 100,000 population20240TB Treatment coverage20240",https://hmisportal.moh.go.tz,"Health data from Ministry of Health Tanzania: Early ANC among Pregnant Women < 12 weeksOctober - December 20250Percentage of Women Aged 30-49 years Screened for Cervical CancerOctober - December 20250Early Initiation of Breastfeeding among All NewbornOctober - December 20250Essential Medicine AvailabilityOctober - December 20250Full Immunization Coverage among InfantsOctober - December 20250Institutional Deliveries CoverageOctober - December 20250TB Incidence per 100,000 population20240TB Treatment coverage20240",Ministry of Health Tanzania,health,verified,,,
Health Statistics: Percentage of Women Aged 30-49 years Screened for Cervical CancerOctober - December 20250,https://hmisportal.moh.go.tz,Health data from Ministry of Health Tanzania: Percentage of Women Aged 30-49 years Screened for Cervical CancerOctober - December 20250,Ministry of Health Tanzania,health,verified,,,
Health Statistics: Percentage of Women Aged 30-49 years Screened for Cervical CancerOctober - December 2025,https://hmisportal.moh.go.tz,Health data from Ministry of Health Tanzania: Percentage of Women Aged 30-49 years Screened for Cervical CancerOctober - December 2025,Ministry of Health Tanzania,health,verified,,,
Health Statistics: Essential Medicine AvailabilityOctober - December 20250,https://hmisportal.moh.go.tz,Health data from Ministry of Health Tanzania: Essential Medicine AvailabilityOctober - December 20250,Ministry of Health Tanzania,health,verified,,,
Health Statistics: Essential Medicine AvailabilityOctober - December 2025,https://hmisportal.moh.go.tz,Health data from Ministry of Health Tanzania: Essential Medicine AvailabilityOctober - December 2025,Ministry of Health Tanzania,health,verified,,,
"Health Statistics: TB Incidence per 100,000 population20240",https://hmisportal.moh.go.tz,"Health data from Ministry of Health Tanzania: TB Incidence per 100,000 population20240",Ministry of Health Tanzania,health,verified,,,
"Health Statistics: TB Incidence per 100,000 population2024",https://hmisportal.moh.go.tz,"Health data from Ministry of Health Tanzania: TB Incidence per 100,000 population2024",Ministry of Health Tanzania,health,verified,,,
Health Statistics: TB Treatment coverage20240,https://hmisportal.moh.go.tz,Health data from Ministry of Health Tanzania: TB Treatment coverage20240,Ministry of Health Tanzania,health,verified,,,
Health Statistics: TB Treatment coverage2024,https://hmisportal.moh.go.tz,Health data from Ministry of Health Tanzania: TB Treatment coverage2024,Ministry of Health Tanzania,health,verified,,,
"Health Statistics: Message From the Permanent SecretaryThe National Health Portal serves as the official platform for disseminating health information and statistics from Tanzania's Ministry of Health. The Portal was established in 2015 under the Monitoring and Evaluation section to provide quick and easy access to data across the health sector.This interactive and user-friendly portal offers a centralized point for accessing key health information. Its main categories include: Routine Data, Survey, Library, Themes and News&Feedback. It provides insights into the country’s health status, services, and performance. It serves a wide range of stakeholders, including government agencies, donors, implementing partners, researchers, academic institutions, faith-based organizations, the private sector, civil society organizations, media, and the general public.Data on the portal is updated quarterly, following analysis from various reporting sources. The portal is designed to support evidence-based decision-making, improve service delivery, and raise public awareness on health issues.All stakeholders and members of the public are encouraged to visit and make use of the National Health Portal to support the development and improvement of Tanzania’s health sector.Dkt. Seif ShekalaghePermanent Secretary (Health)",https://hmisportal.moh.go.tz,"Health data from Ministry of Health Tanzania: Message From the Permanent SecretaryThe National Health Portal serves as the official platform for disseminating health information and statistics from Tanzania's Ministry of Health. The Portal was established in 2015 under the Monitoring and Evaluation section to provide quick and easy access to data across the health sector.This interactive and user-friendly portal offers a centralized point for accessing key health information. Its main categories include: Routine Data, Survey, Library, Themes and News&Feedback. It provides insights into the country’s health status, services, and performance. It serves a wide range of stakeholders, including government agencies, donors, implementing partners, researchers, academic institutions, faith-based organizations, the private sector, civil society organizations, media, and the general public.Data on the portal is updated quarterly, following analysis from various reporting sources. The portal is designed to support evidence-based decision-making, improve service delivery, and raise public awareness on health issues.All stakeholders and members of the public are encouraged to visit and make use of the National Health Portal to support the development and improvement of Tanzania’s health sector.Dkt. Seif ShekalaghePermanent Secretary (Health)",Ministry of Health Tanzania,health,verified,,,
